metric,case_count,hosptialized,deaths,date
Female,"4,349",307,125,2020-04-30
Male,"3,533",447,126,2020-04-30
0-9,125,0,0,2020-04-30
10-19,320,0,0,2020-04-30
20-29,"1,022",26,<5,2020-04-30
30-39,"1,231",41,<5,2020-04-30
40-49,"1,248",91,<5,2020-04-30
50-59,"1,407",142,16,2020-04-30
60-69,"1,056",165,29,2020-04-30
70-79,677,147,65,2020-04-30
80-89,535,97,77,2020-04-30
90-99,353,47,55,2020-04-30
100+,37,<5,<5,2020-04-30
Hispanic/Latinx (any race),"2,031",176,27,2020-04-30
Black (non-Hispanic or ethnicity unknown),629,70,14,2020-04-30
White (non-Hispanic or ethnicity unknown),"1,844",262,182,2020-04-30
Other (non-Hispanic or ethnicity unknown),194,23,<5,2020-04-30
Multiple races (non-Hispanic or ethnicity unknown),23,<5,0,2020-04-30
Female,"4,724",416,139,2020-05-01
Male,"3,887",549,140,2020-05-01
0-9,153,0,0,2020-05-01
10-19,363,<5,0,2020-05-01
20-29,"1,214",31,<5,2020-05-01
30-39,"1,342",66,<5,2020-05-01
40-49,"1,363",114,<5,2020-05-01
50-59,"1,537",187,17,2020-05-01
60-69,"1,073",214,30,2020-05-01
70-79,705,172,74,2020-05-01
80-89,571,123,87,2020-05-01
90-99,354,50,60,2020-05-01
100+,25,0,5,2020-05-01
Hispanic/Latinx (any race),"2,147",201,32,2020-05-01
Black (non-Hispanic or ethnicity unknown),652,88,15,2020-05-01
White (non-Hispanic or ethnicity unknown),"1,909",304,197,2020-05-01
Other (non-Hispanic or ethnicity unknown),197,26,<5,2020-05-01
Multiple races (non-Hispanic or ethnicity unknown),24,<5,0,2020-05-01
Female,"4,940",431,148,2020-05-02
Male,"4,044",560,148,2020-05-02
0-9,168,<5,0,2020-05-02
10-19,385,<5,0,2020-05-02
20-29,"1,259",29,<5,2020-05-02
30-39,"1,403",65,<5,2020-05-02
40-49,"1,411",120,<5,2020-05-02
50-59,"1,576",193,18,2020-05-02
60-69,"1,124",219,32,2020-05-02
70-79,732,185,79,2020-05-02
80-89,609,126,91,2020-05-02
90-99,372,52,64,2020-05-02
100+,27,0,5,2020-05-02
Hispanic/Latinx (any race),"2,176",209,34,2020-05-02
Black (non-Hispanic or ethnicity unknown),657,90,15,2020-05-02
White (non-Hispanic or ethnicity unknown),"1,917",309,207,2020-05-02
Other (non-Hispanic or ethnicity unknown),198,26,5,2020-05-02
Multiple races (non-Hispanic or ethnicity unknown),24,<5,0,2020-05-02
Female,"5,103",459,160,2020-05-03
Male,"4,162",593,159,2020-05-03
0-9,175,<5,0,2020-05-03
10-19,405,<5,0,2020-05-03
20-29,"1,296",32,<5,2020-05-03
30-39,"1,459",75,5,2020-05-03
40-49,"1,452",126,5,2020-05-03
50-59,"1,613",200,19,2020-05-03
60-69,"1,151",236,33,2020-05-03
70-79,755,192,82,2020-05-03
80-89,620,132,99,2020-05-03
90-99,386,55,71,2020-05-03
100+,27,0,5,2020-05-03
Hispanic/Latinx (any race),"2,176",216,37,2020-05-03
Black (non-Hispanic or ethnicity unknown),657,92,15,2020-05-03
White (non-Hispanic or ethnicity unknown),"1,917",324,222,2020-05-03
Other (non-Hispanic or ethnicity unknown),198,26,7,2020-05-03
Multiple races (non-Hispanic or ethnicity unknown),24,<5,0,2020-05-03
Female,"5,201",475,172,2020-05-04
Male,"4,243",607,169,2020-05-04
0-9,178,<5,0,2020-05-04
10-19,418,<5,0,2020-05-04
20-29,"1,314",33,<5,2020-05-04
30-39,"1,486",80,5,2020-05-04
40-49,"1,481",128,6,2020-05-04
50-59,"1,642",206,19,2020-05-04
60-69,"1,168",242,35,2020-05-04
70-79,761,198,83,2020-05-04
80-89,634,138,108,2020-05-04
90-99,396,57,79,2020-05-04
100+,27,0,5,2020-05-04
Hispanic/Latinx (any race),"2,325",217,38,2020-05-04
Black (non-Hispanic or ethnicity unknown),701,92,17,2020-05-04
White (non-Hispanic or ethnicity unknown),"2,031",330,234,2020-05-04
Other (non-Hispanic or ethnicity unknown),209,26,7,2020-05-04
Multiple races (non-Hispanic or ethnicity unknown),24,<5,0,2020-05-04
Female,"5,201",475,172,5/4/2020
Male,"4,243",607,169,5/4/2020
0-9,178,<5,0,5/4/2020
10-19,418,<5,0,5/4/2020
20-29,"1,314",33,<5,5/4/2020
30-39,"1,486",80,5,5/4/2020
40-49,"1,481",128,6,5/4/2020
50-59,"1,642",206,19,5/4/2020
60-69,"1,168",242,35,5/4/2020
70-79,761,198,83,5/4/2020
80-89,634,138,108,5/4/2020
90-99,396,57,79,5/4/2020
100+,27,0,5,5/4/2020
Hispanic/Latinx (any race),"2,325",217,38,5/4/2020
Black (non-Hispanic or ethnicity unknown),701,92,17,5/4/2020
White (non-Hispanic or ethnicity unknown),"2,031",330,234,5/4/2020
Other (non-Hispanic or ethnicity unknown),209,26,7,5/4/2020
Multiple races (non-Hispanic or ethnicity unknown),24,<5,0,5/4/2020
Female,"5,201",475,172,5/4/2020
Male,"4,243",607,169,5/4/2020
0-9,178,<5,0,5/4/2020
10-19,418,<5,0,5/4/2020
20-29,"1,314",33,<5,5/4/2020
30-39,"1,486",80,5,5/4/2020
40-49,"1,481",128,6,5/4/2020
50-59,"1,642",206,19,5/4/2020
60-69,"1,168",242,35,5/4/2020
70-79,761,198,83,5/4/2020
80-89,634,138,108,5/4/2020
90-99,396,57,79,5/4/2020
100+,27,0,5,5/4/2020
Hispanic/Latinx (any race),"2,325",217,38,5/4/2020
Black (non-Hispanic or ethnicity unknown),701,92,17,5/4/2020
White (non-Hispanic or ethnicity unknown),"2,031",330,234,5/4/2020
Other (non-Hispanic or ethnicity unknown),209,26,7,5/4/2020
Multiple races (non-Hispanic or ethnicity unknown),24,<5,0,5/4/2020
Female,"5,201",475,172,5/4/2020
Male,"4,243",607,169,5/4/2020
0-9,178,<5,0,5/4/2020
10-19,418,<5,0,5/4/2020
20-29,"1,314",33,<5,5/4/2020
30-39,"1,486",80,5,5/4/2020
40-49,"1,481",128,6,5/4/2020
50-59,"1,642",206,19,5/4/2020
60-69,"1,168",242,35,5/4/2020
70-79,761,198,83,5/4/2020
80-89,634,138,108,5/4/2020
90-99,396,57,79,5/4/2020
100+,27,0,5,5/4/2020
Hispanic/Latinx (any race),"2,325",217,38,5/4/2020
Black (non-Hispanic or ethnicity unknown),701,92,17,5/4/2020
White (non-Hispanic or ethnicity unknown),"2,031",330,234,5/4/2020
Other (non-Hispanic or ethnicity unknown),209,26,7,5/4/2020
Multiple races (non-Hispanic or ethnicity unknown),24,<5,0,5/4/2020
Female,"5,201",475,172,5/4/2020
Male,"4,243",607,169,5/4/2020
0-9,178,<5,0,5/4/2020
10-19,418,<5,0,5/4/2020
20-29,"1,314",33,<5,5/4/2020
30-39,"1,486",80,5,5/4/2020
40-49,"1,481",128,6,5/4/2020
50-59,"1,642",206,19,5/4/2020
60-69,"1,168",242,35,5/4/2020
70-79,761,198,83,5/4/2020
80-89,634,138,108,5/4/2020
90-99,396,57,79,5/4/2020
100+,27,0,5,5/4/2020
Hispanic/Latinx (any race),"2,325",217,38,5/4/2020
Black (non-Hispanic or ethnicity unknown),701,92,17,5/4/2020
White (non-Hispanic or ethnicity unknown),"2,031",330,234,5/4/2020
Other (non-Hispanic or ethnicity unknown),209,26,7,5/4/2020
Multiple races (non-Hispanic or ethnicity unknown),24,<5,0,5/4/2020
Female,"5,201",475,172,5/4/2020
Male,"4,243",607,169,5/4/2020
0-9,178,<5,0,5/4/2020
10-19,418,<5,0,5/4/2020
20-29,"1,314",33,<5,5/4/2020
30-39,"1,486",80,5,5/4/2020
40-49,"1,481",128,6,5/4/2020
50-59,"1,642",206,19,5/4/2020
60-69,"1,168",242,35,5/4/2020
70-79,761,198,83,5/4/2020
80-89,634,138,108,5/4/2020
90-99,396,57,79,5/4/2020
100+,27,0,5,5/4/2020
Hispanic/Latinx (any race),"2,325",217,38,5/4/2020
Black (non-Hispanic or ethnicity unknown),701,92,17,5/4/2020
White (non-Hispanic or ethnicity unknown),"2,031",330,234,5/4/2020
Other (non-Hispanic or ethnicity unknown),209,26,7,5/4/2020
Multiple races (non-Hispanic or ethnicity unknown),24,<5,0,5/4/2020
