Facility Name,Cases,Fatalities,type,date,
Summit Commons (Providence),105 to 109,15 to 19,nursing home,5/6/2020,
Trinity Health Center (Woonsocket),5 to 9,0,nursing home,5/6/2020,
Veterans Home (Bristol),15 to 19,0,nursing home,5/6/2020,
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,5/6/2020,
Waterview Villa (East Providence),10 to 14,0,nursing home,5/6/2020,
West Shore Health Center (Warwick),90 to 94,15 to 19,nursing home,5/6/2020,
West View Nursing Home (West Warwick),35 to 39,Fewer than 5,nursing home,5/6/2020,
Woonsocket Health Center (Woonsocket),65 to 69,5 to 9,nursing home,5/6/2020,
Total Cases and Fatalities Long Term Care Facilities,1600-1605,260-265,nursing home,5/6/2020,
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,5 to 9,assisted living,5/6/2020,
Highlands on the East Side (Providence),10 to 14,Fewer than 5,assisted living,5/6/2020,
The Lighthouse at Lincoln (Lincoln),10 to 14,Fewer than 5,assisted living,5/6/2020,
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,5 to 9,assisted living,5/6/2020,
Wingate Assisted Living - Residences on the East Side,10 to 14,Fewer than 5,assisted living,5/6/2020,
Total Cases and Fatalities Assisted Living Facilities,115-119,15 to 19,assisted living,5/6/2020,
Ballou Home (Woonsocket),5 to 9,0,nursing home,5/9/2020,
Bannister House (Providence),5 to 9,0,nursing home,5/9/2020,
Berkshire Place (Providence),165 to 170,15 to 19,nursing home,5/9/2020,
Bethany Home (Providence),10 to 14,Fewer than 5,nursing home,5/9/2020,
Brentwood (Warwick),30 to 34,5 to 9,nursing home,5/9/2020,
Brookdale - Sakonnet Bay (Tiverton),2 to 4,0,nursing home,5/9/2020,
Cedar Crest (Cranston),2 to 4,0,nursing home,5/9/2020,
Charlesgate Nursing Center (Providence),60 to 64,Fewer than 5,nursing home,5/9/2020,
Cherry Hill Manor (Johnston),15 to 19,0,nursing home,5/9/2020,
Crestwood Nursing & Rehab (Warren),10 to 14,0,nursing home,5/9/2020,
Crystal Lake Rehab & Care (Burrillville),40 to 44,5 to 9,nursing home,5/9/2020,
Eastgate Nursing & Rehab (East Providence),25 to 29,0,nursing home,5/9/2020,
Elmhurst Healthcare Center (Providence),40 to 44,10 to 14,nursing home,5/9/2020,
Evergreen House Health Center (East Providence),55 to 59,Fewer than 5,nursing home,5/9/2020,
Friendly Home (Woonsocket),5 to 9,0,nursing home,5/9/2020,
Golden Crest (North Providence),95 to 99,30 to 35,nursing home,5/9/2020,
Grand Islander (Middletown),2 to 4,Fewer than 5,nursing home,5/9/2020,
Greenville Skilled Nursing & Rehabilitation (Greenville),60 to 64,0,nursing home,5/9/2020,
Hallworth House (Providence),15 to 19,5 to 9,nursing home,5/9/2020,
Harris Health Care Center North (Central Falls),20 to 24,0,nursing home,5/9/2020,
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,5/9/2020,
Heritage Hills (Smithfield),5 to 9,0,nursing home,5/9/2020,
Hopkins Manor (North Providence),45 to 49,Fewer than 5,nursing home,5/9/2020,
Kent Regency (Warwick),25 to 29,Fewer than 5,nursing home,5/9/2020,
Linn Health Center (East Providence),5 to 9,0,nursing home,5/9/2020,
Mount St. Rita (Cumberland),65 to 69,15 to 19,nursing home,5/9/2020,
Oak Hill Health Center (Pawtucket),75 to 79,20 to 25,nursing home,5/9/2020,
Oakland Grove Health Center (Woonsocket),70 to 74,15 to 19,nursing home,5/9/2020,
Orchard View Manor (East Providence),140 to 144,40 to 44,nursing home,5/9/2020,
Rhode Island Veterans Home (Bristol),15 to 19,Fewer than 5,nursing home,5/9/2020,
Riverview Community (Coventry),25 to 29,Fewer than 5,nursing home,5/9/2020,
Saint Antoine Residence (North Smithfield),35 to 39,10 to 14,nursing home,5/9/2020,
Saint Elizabeth Manor East Bay (Bristol),10 to 14,0,nursing home,5/9/2020,
Scalabrini Villa (North Kingstown),65 to 69,15 to 19,nursing home,5/9/2020,
South County Nursing Center (North Kingstown),25 to 29,0,nursing home,5/9/2020,
South Kingstown Nursing & Rehab (South Kingstown),15 to 19,5 to 9,nursing home,5/9/2020,
Steere House Nursing and Rehab (Providence),10 to 14,Fewer than 5,nursing home,5/9/2020,
Stillwater Skilled Nursing (Greenville),60 to 64,10 to 14,nursing home,5/9/2020,
Summit Commons (Providence),105 to 109,15 to 19,nursing home,5/9/2020,
Trinity Health Center (Woonsocket),5 to 9,0,nursing home,5/9/2020,
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,5/9/2020,
Waterview Villa (East Providence),15 to 19,0,nursing home,5/9/2020,
West Shore Health Center (Warwick),95 to 99,20 to 24,nursing home,5/9/2020,
West View Nursing Home (West Warwick),35 to 39,Fewer than 5,nursing home,5/9/2020,
Woonsocket Health Center (Woonsocket),80 to 84,5 to 9,nursing home,5/9/2020,
Total Cases and Fatalities Long Term Care Facilities,1780-1784,294-299,nursing home,5/9/2020,
Darlington Memory Lane (North Providence - 1073 Mineral Spring),55 to 59,5 to 9,assisted living,5/9/2020,
Highlands on the East Side (Providence),10 to 14,Fewer than 5,assisted living,5/9/2020,
Lighthouse at Lincoln (Lincoln),10 to 14,0,assisted living,5/9/2020,
Stillwater Assisted Living (Greenville),2 to 4,,assisted living,5/9/2020,
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,5 to 9,assisted living,5/9/2020,
Wingate Assisted Living - Residences on the East Side,10 to 14,Fewer than 5,assisted living,5/9/2020,
Total Cases and Fatalities Assisted Living Facilities,125-129,20 to 24,assisted living,5/9/2020,
Ballou Home (Woonsocket),5 to 9,0,nursing home,5/15/2020,
Bannister House (Providence),5 to 9,0,nursing home,5/15/2020,
Berkshire Place (Providence),165 to 170,15 to 19,nursing home,5/15/2020,
Bethany Home (Providence),15 to 19,Fewer than five,nursing home,5/15/2020,
Brentwood (Warwick),35 to 39,5 to 9,nursing home,5/15/2020,
Brookdale - Sakonnet Bay (Tiverton),2 to 4,0,nursing home,5/15/2020,
Cedar Crest (Cranston),2 to 4,0,nursing home,5/15/2020,
Charlesgate Nursing Center (Providence),70 to 74,5 to 9,nursing home,5/15/2020,
Cherry Hill Manor (Johnston),30 to 34,Fewer than five,nursing home,5/15/2020,
Crestwood Nursing & Rehab (Warren),10 to 14,Fewer than five,nursing home,5/15/2020,
Crystal Lake Rehab & Care (Burrillville),40 to 44,5 to 9,nursing home,5/15/2020,
Eastgate Nursing & Rehab (East Providence),30 to 34,Fewer than five,nursing home,5/15/2020,
Elmhurst Healthcare Center (Providence),45 to 49,10 to 14,nursing home,5/15/2020,
Elmwood Nursing & Rehab Center (Providence),5 to 9,0,nursing home,5/15/2020,
Evergreen House Health Center (East Providence),95 to 99,Fewer than five,nursing home,5/15/2020,
Friendly Home (Woonsocket),40 to 44,Fewer than five,nursing home,5/15/2020,
Golden Crest (North Providence),95 to 99,30 to 35,nursing home,5/15/2020,
Grand Islander (Middletown),2 to 4,Fewer than five,nursing home,5/15/2020,
Greenville Skilled Nursing & Rehabilitation (Greenville),70 to 74,5 to 9,nursing home,5/15/2020,
Hallworth House (Providence),20 to 24,5 to 9,nursing home,5/15/2020,
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,5/15/2020,
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,5/15/2020,
Heritage Hills (Smithfield),5 to 9,0,nursing home,5/15/2020,
Hopkins Manor (North Providence),100 to 104,5 to 9,nursing home,5/15/2020,
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,5/15/2020,
Linn Health Center (East Providence),10 to 14,0,nursing home,5/15/2020,
Morgan Health Center Nursing & Rehab (Johnston),2 to 4,0,nursing home,5/15/2020,
Mount St. Rita (Cumberland),70 to 74,15 to 19,nursing home,5/15/2020,
Oak Hill Health Center (Pawtucket),75 to 79,20 to 25,nursing home,5/15/2020,
Oakland Grove Health Center (Woonsocket),70 to 74,15 to 19,nursing home,5/15/2020,
Orchard View Manor (East Providence),145 to 149,40 to 44,nursing home,5/15/2020,
Pawtucket Skilled Nursing (Pawtucket),2 to 4,0,nursing home,5/15/2020,
Rhode Island Veterans Home (Bristol),15 to 19,Fewer than five,nursing home,5/15/2020,
Riverview Community (Coventry),30 to 34,Fewer than five,nursing home,5/15/2020,
Saint Antoine Residence (North Smithfield),45 to 49,10 to 14,nursing home,5/15/2020,
Saint Elizabeth Manor East Bay (Bristol),10 to 14,0,nursing home,5/15/2020,
Scalabrini Villa (North Kingstown),70 to 74,15 to 19,nursing home,5/15/2020,
South County Nursing Center (North Kingstown),50 to 59,Fewer than five,nursing home,5/15/2020,
South Kingstown Nursing & Rehab (South Kingstown),20 to 24,5 to 9,nursing home,5/15/2020,
Steere House Nursing and Rehab (Providence),40 to 44,Fewer than five,nursing home,5/15/2020,
Stillwater Skilled Nursing (Greenville),60 to 64,15 to 19,nursing home,5/15/2020,
Summit Commons (Providence),105 to 109,20 to 24,nursing home,5/15/2020,
Trinity Health Center (Woonsocket),10 to 14,0,nursing home,5/15/2020,
Village House Nursing and Rehab (Newport),2 to 4,0,nursing home,5/15/2020,
Waterview Villa (East Providence),25 to 29,0,nursing home,5/15/2020,
West Shore Health Center (Warwick),105 to 109,25 to 29,nursing home,5/15/2020,
West View Nursing Home (West Warwick),50 to 54,5 to 9,nursing home,5/15/2020,
Woonsocket Health Center (Woonsocket),85 to 89,10 to 14,nursing home,5/15/2020,
Total Cases and Fatalities Long Term Care Facilities,2105-2109,345-349,nursing home,5/15/2020,
Darlington Memory Lane (North Providence - 1073 Mineral Spring),60 to 64,10 to 14,assisted living,5/15/2020,
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,5/15/2020,
Lighthouse at Lincoln (Lincoln),10 to 14,Fewer than five,assisted living,5/15/2020,
Stillwater Assisted Living (Greenville),5 to 9,0,assisted living,5/15/2020,
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,5 to 9,assisted living,5/15/2020,
Wingate Assisted Living - Residences on the East Side,15 to 19,Fewer than five,assisted living,5/15/2020,
Total Cases and Fatalities Assisted Living Facilities,130-134,20 to 24,assisted living,5/15/2020,
Ballou Home (Woonsocket),5 to 9,0,nursing home,5/22/2020,
Bannister House (Providence),5 to 9,0,nursing home,5/22/2020,
Berkshire Place (Providence),165 to 169,20 to 24,nursing home,5/22/2020,
Bethany Home (Providence),15 to 19,Fewer than five,nursing home,5/22/2020,
Brentwood Nursing Home (Warwick),35 to 39,5 to 9,nursing home,5/22/2020,
Briarcliffe Manor  (Johnston),40 to 44,5 to 9,nursing home,5/22/2020,
Brookdale - Sakonnet Bay  (Tiverton),2 to 4,0,nursing home,5/22/2020,
Cedar Crest  (Cranston),2 to 4,0,nursing home,5/22/2020,
Charlesgate Nursing Center (Providence),75 to 79,5 to 9,nursing home,5/22/2020,
Cherry Hill Manor (Johnston),45 to 49,Fewer than five,nursing home,5/22/2020,
Crestwood Nursing & Rehab (Warren),10 to 14,Fewer than five,nursing home,5/22/2020,
Crystal Lake Rehab & Care (Burrillville),40 to 44,5 to 9,nursing home,5/22/2020,
Eastgate Nursing & Rehab (East Providence),40 to 44,Fewer than five,nursing home,5/22/2020,
Elmhurst Healthcare Center  (Providence),55 to 59,10 to 14,nursing home,5/22/2020,
Elmwood Nursing and Rehab Center (Providence),25 to 29,Fewer than five,nursing home,5/22/2020,
Evergreen House Health Center (East Providence),105 to 109,Fewer than five,nursing home,5/22/2020,
Friendly Home (Woonsocket),55 to 59,10 to 14,nursing home,5/22/2020,
Golden Crest  (North Providence),95 to 99,30 to 34,nursing home,5/22/2020,
Grand Islander  (Middletown),2 to 4,Fewer than five,nursing home,5/22/2020,
Greenville Skilled Nursing & Rehabilitation (Greenville),70 to 74,10 to 14,nursing home,5/22/2020,
Hallworth House (Providence),20 to 24,5 to 9,nursing home,5/22/2020,
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,5/22/2020,
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,5/22/2020,
Heritage Hills (Smithfield),5 to 9,0,nursing home,5/22/2020,
Hopkins Manor (North Providence),105 to 109,5 to 9,nursing home,5/22/2020,
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,5/22/2020,
Linn Health & Rehab Center (East Providence),15 to 19,Fewer than five,nursing home,5/22/2020,
Mount St. Rita (Cumberland),70 to 74,20 to 24,nursing home,5/22/2020,
Oak Hill Health Center * (Pawtucket),75 to 79,20 to 24,nursing home,5/22/2020,
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,5/22/2020,
Orchard View Manor (East Providence),145 to 149,45 to 49,nursing home,5/22/2020,
Respiratory and Rehabilitation Center of RI (Coventry),2 to 4,0,nursing home,5/22/2020,
Rhode Island Veterans Home (Bristol),15 to 19,Fewer than five,nursing home,5/22/2020,
Riverview Community  (Coventry),30 to 34,5 to 9,nursing home,5/22/2020,
Saint Antoine Residence (North Smithfield),60 to 64,15 to 19,nursing home,5/22/2020,
Saint Elizabeth Manor East Bay (Bristol),10 to 14,0,nursing home,5/22/2020,
Scalabrini Villa  (North Kingstown),70 to 74,15 to 19,nursing home,5/22/2020,
South County Nursing Center (North Kingstown),80 to 84,15 to 19,nursing home,5/22/2020,
South Kingstown Nursing & Rehab (South Kingstown),20 to 24,5 to 9,nursing home,5/22/2020,
Steere House Nursing and Rehab (Providence),55 to 59,10 to 14,nursing home,5/22/2020,
Stillwater Skilled Nursing (Greenville),65 to 69,15 to 19,nursing home,5/22/2020,
Summit Commons (Providence),105 to 109,20 to 24,nursing home,5/22/2020,
Trinity Health Center (Woonsocket),15 to 19,0,nursing home,5/22/2020,
Village House Nursing and Rehab  (Newport),2 to 4,9,nursing home,5/22/2020,
Waterview Villa (East Providence),30 to 34,Fewer than five,nursing home,5/22/2020,
West Shore Health Center (Warwick),110 to 114,30 to 34,nursing home,5/22/2020,
West View Nursing Center (West Warwick),60 to 64,5 to 9,nursing home,5/22/2020,
Woonsocket Health Center (Woonsocket),85 to 89,15 to 19,nursing home,5/22/2020,
Total Cases and Fatalities Long Term Care Facilities,2340 to 2344,440 to 444,nursing home,5/22/2020,
Capitol Ridge at Providence (Providence),5 to 9,0,assisted living,5/22/2020,
Darlington Memory Lane  (North Providence - 1073 Mineral Spring),60 to 64,10 to 14,assisted living,5/22/2020,
Highlands on the East Side (Providence),15 to 19,Fewer than five,assisted living,5/22/2020,
Lighthouse at Lincoln (Lincoln),15 to 19,Fewer than five,assisted living,5/22/2020,
Stillwater Assisted Living (Greenville),5 to 9,0,assisted living,5/22/2020,
Wingate Assisted Living - Blackstone Boulevard (Providence),20 to 24,5 to 9,assisted living,5/22/2020,
Wingate Assisted Living - Residences on the East Side (Providence),15 to 19,Fewer than five,assisted living,5/22/2020,
Total Cases and Fatalities Assisted Living Facilities,140 to 144,20 to 24,assisted living,5/22/2020,
Ballou Home (Woonsocket),5 to 9,0,nursing home,5/29/2020,
Bannister House (Providence),5 to 9,0,nursing home,5/29/2020,
Berkshire Place (Providence),165 to 169,20 to 24,nursing home,5/29/2020,
Bethany Home (Providence),15 to 19,Fewer than five,nursing home,5/29/2020,
Brentwood Nursing Home (Warwick),40 to 44,5 to 9,nursing home,5/29/2020,
Briarcliffe Manor  (Johnston),50 to 54,15 to 19,nursing home,5/29/2020,
Brookdale - Sakonnet Bay  (Tiverton),2 to 4,0,nursing home,5/29/2020,
Cedar Crest  (Cranston),2 to 4,0,nursing home,5/29/2020,
Charlesgate Nursing Center (Providence),75 to 79,5 to 9,nursing home,5/29/2020,
Cherry Hill Manor (Johnston),55 to 59,10 to 14,nursing home,5/29/2020,
Crestwood Nursing & Rehab (Warren),10 to 14,Fewer than five,nursing home,5/29/2020,
Crystal Lake Rehab & Care (Burrillville),40 to 44,5 to 9,nursing home,5/29/2020,
Eastgate Nursing & Rehab (East Providence),40 to 44,5 to 9,nursing home,5/29/2020,
Elmhurst Healthcare Center  (Providence),55 to 59,15 to 19,nursing home,5/29/2020,
Elmwood Nursing and Rehab Center (Providence),40 to 44,Fewer than five,nursing home,5/29/2020,
Evergreen House Health Center (East Providence),110 to 114,Fewer than five,nursing home,5/29/2020,
Friendly Home (Woonsocket),60 to 64,15 to 19,nursing home,5/29/2020,
Golden Crest  (North Providence),95 to 99,35 to 39,nursing home,5/29/2020,
Grand Islander  (Middletown),2 to 4,Fewer than five,nursing home,5/29/2020,
Greenville Skilled Nursing & Rehabilitation (Greenville),75 to 79,10 to 14,nursing home,5/29/2020,
Greenwood Center (Warwick),2 to 4,0,nursing home,5/29/2020,
Hallworth House (Providence),25 to 29,10 to 14,nursing home,5/29/2020,
Harris Health Care Center North (Central Falls),20 to 24,Fewer than five,nursing home,5/29/2020,
Hebert Nursing Home (Smithfield),2 to 4,0,nursing home,5/29/2020,
Heritage Hills (Smithfield),5 to 9,0,nursing home,5/29/2020,
Hopkins Manor (North Providence),105 to 109,10 to 14,nursing home,5/29/2020,
Kent Regency (Warwick),25 to 29,Fewer than five,nursing home,5/29/2020,
Linn Health & Rehab Center (East Providence),30 to 34,Fewer than five,nursing home,5/29/2020,
Mount St. Rita (Cumberland),75 to 79,20 to 24,nursing home,5/29/2020,
Oak Hill Health Center * (Pawtucket),75 to 79,20 to 24,nursing home,5/29/2020,
Oakland Grove Health Center (Woonsocket),75 to 79,20 to 24,nursing home,5/29/2020,
Orchard View Manor (East Providence),145 to 149,45 to 49,nursing home,5/29/2020,
Respiratory and Rehabilitation Center of RI (Coventry),2 to 4,0,nursing home,5/29/2020,
Rhode Island Veterans Home (Bristol),15 to 19,Fewer than five,nursing home,5/29/2020,
Riverview Community  (Coventry),35 to 39,5 to 9,nursing home,5/29/2020,
Saint Antoine Residence (North Smithfield),60 to 64,15 to 19,nursing home,5/29/2020,
Saint Elizabeth Manor East Bay (Bristol),10 to 14,Fewer than five,nursing home,5/29/2020,
Scalabrini Villa  (North Kingstown),70 to 74,20 to 24,nursing home,5/29/2020,
South County Nursing Center (North Kingstown),80 to 84,15 to 19,nursing home,5/29/2020,
South Kingstown Nursing & Rehab (South Kingstown),20 to 24,5 to 9,nursing home,5/29/2020,
Steere House Nursing and Rehab (Providence),60 to 64,15 to 19,nursing home,5/29/2020,
Stillwater Skilled Nursing (Greenville),65 to 69,20 to 24,nursing home,5/29/2020,
Summit Commons (Providence),105 to 109,20 to 24,nursing home,5/29/2020,
Tockwotton on the Waterfront (East Providence),2 to 4,Fewer than five,nursing home,5/29/2020,
Trinity Health Center (Woonsocket),15 to 19,0,nursing home,5/29/2020,
Village House Nursing and Rehab  (Newport),2 to 4,0,nursing home,5/29/2020,
Waterview Villa (East Providence),40 to 44,Fewer than five,nursing home,5/29/2020,
West Shore Health Center (Warwick),110 to 114,35 to 39,nursing home,5/29/2020,
