school,lea,new_student_cases,total_student_cases,new_staff_cases,total_staff_cases,type,date
Steere Farm Elementary School,Burrillville,0,Fewer than five,0,Fewer than five,in person,2021-01-13
William L. Callahan School,Burrillville,0,10 to 14,0,0,in person,2021-01-13
All Saints Academy,Catholic Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Bishop Connolly High School,Catholic Schools,0,Fewer than five,0,0,in person,2021-01-13
Bishop Hendricken High School,Catholic Schools,Fewer than five,35 to 39,0,5 to 9,in person,2021-01-13
Bishop McVinney Regional School,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-01-13
Blessed Sacrament School,Catholic Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
Father John V. Doyle School,Catholic Schools,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
Good Shepherd Catholic Regional School,Catholic Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
Holy Trinity School,Catholic Schools,0,Fewer than five,0,0,in person,2021-01-13
Immaculate Conception Catholic Regional,Catholic Schools,Fewer than five,15 to 19,0,0,in person,2021-01-13
La Salle Academy,Catholic Schools,Fewer than five,55 to 59,Fewer than five,5 to 9,in person,2021-01-13
Mercymount Country Day School,Catholic Schools,0,10 to 14,0,Fewer than five,in person,2021-01-13
Mount St. Charles Academy,Catholic Schools,0,25 to 29,0,5 to 9,in person,2021-01-13
Msgr. Matthew F. Clarke Catholic Regional School,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-01-13
Our Lady of Mercy Regional School,Catholic Schools,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Our Lady of Mt. Carmel,Catholic Schools,Fewer than five,5 to 9,0,0,in person,2021-01-13
Sacred Heart School,Catholic Schools,0,Fewer than five,Fewer than five,5 to 9,in person,2021-01-13
St. Augustine School,Catholic Schools,0,10 to 14,0,Fewer than five,in person,2021-01-13
St. Cecilia School,Catholic Schools,0,5 to 9,0,5 to 9,in person,2021-01-13
St. Joseph School,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-01-13
St. Kevin School,Catholic Schools,0,10 to 14,0,5 to 9,in person,2021-01-13
St. Luke School,Catholic Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
St. Margaret School,Catholic Schools,0,Fewer than five,0,0,in person,2021-01-13
St. Mary Academy-Bay View,Catholic Schools,Fewer than five,15 to 19,0,Fewer than five,in person,2021-01-13
St. Mary School,Catholic Schools,0,10 to 14,0,Fewer than five,in person,2021-01-13
St. Patrick School,Catholic Schools,Fewer than five,Fewer than five,0,0,in person,2021-01-13
St. Paul School,Catholic Schools,0,10 to 14,0,Fewer than five,in person,2021-01-13
St. Peter School,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-01-13
St. Philip School,Catholic Schools,0,10 to 14,Fewer than five,Fewer than five,in person,2021-01-13
St. Philomena School,Catholic Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
St. Pius V School,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-01-13
St. Raphael Academy,Catholic Schools,Fewer than five,15 to 19,Fewer than five,Fewer than five,in person,2021-01-13
St. Rocco School,Catholic Schools,0,5 to 9,0,0,in person,2021-01-13
St. Rose of Lima School,Catholic Schools,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
St. Teresa School,Catholic Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
St. Thomas Regional School,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-01-13
The Prout School,Catholic Schools,Fewer than five,10 to 14,Fewer than five,Fewer than five,in person,2021-01-13
Captain G. Harold Hunt Elementary School,Central Falls,0,5 to 9,0,Fewer than five,in person,2021-01-13
Central Falls Senior High School,Central Falls,0,0,0,Fewer than five,in person,2021-01-13
Dr. Earl F. Calcutt Middle School,Central Falls,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Ella Risk School,Central Falls,0,5 to 9,0,5 to 9,in person,2021-01-13
Progreso Latino Excellence Academy,Central Falls,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Raices Dual Language Academy at Margaret I. Robertson School,Central Falls,0,5 to 9,0,Fewer than five,in person,2021-01-13
Veterans Memorial Elementary,Central Falls,0,5 to 9,0,Fewer than five,in person,2021-01-13
Charette Charter School,Charette Charter,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Ashaway Elementary School,Chariho,0,Fewer than five,0,5 to 9,in person,2021-01-13
Chariho Alternative Learning Academy,Chariho,0,Fewer than five,0,0,in person,2021-01-13
Chariho Regional High School,Chariho,Fewer than five,20 to 24,0,5 to 9,in person,2021-01-13
Chariho Regional Middle School,Chariho,0,25 to 29,Fewer than five,10 to 14,in person,2021-01-13
Charlestown Elementary School,Chariho,0,5 to 9,0,Fewer than five,in person,2021-01-13
Hope Valley Elementary School,Chariho,0,5 to 9,0,Fewer than five,in person,2021-01-13
Hope Valley Elementary School Annex,Chariho,0,0,0,Fewer than five,in person,2021-01-13
Richmond Elementary School,Chariho,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-01-13
Alan Shawn Feinstein Middle School Of Coventry,Coventry,0,20 to 24,0,5 to 9,in person,2021-01-13
Blackrock School,Coventry,0,5 to 9,0,Fewer than five,in person,2021-01-13
Coventry High School,Coventry,0,35 to 39,0,5 to 9,in person,2021-01-13
Hopkins Hill School,Coventry,0,5 to 9,0,Fewer than five,in person,2021-01-13
The Regional Career and Technical Center at Coventry HS,Coventry,0,0,0,Fewer than five,in person,2021-01-13
Tiogue School,Coventry,0,10 to 14,0,Fewer than five,in person,2021-01-13
Washington Oak School,Coventry,0,10 to 14,Fewer than five,5 to 9,in person,2021-01-13
Western Coventry School,Coventry,0,10 to 14,0,Fewer than five,in person,2021-01-13
Alternative Education Program,Cranston,0,0,0,Fewer than five,in person,2021-01-13
Arlington School,Cranston,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Cranston Early Learning Center,Cranston,0,0,0,Fewer than five,in person,2021-01-13
Cranston High School East,Cranston,0,10 to 14,0,5 to 9,in person,2021-01-13
Cranston High School West,Cranston,0,25 to 29,0,10 to 14,in person,2021-01-13
Daniel D. Waterman School,Cranston,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Eden Park School,Cranston,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Edgewood Highland School,Cranston,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Edward S. Rhodes School,Cranston,0,Fewer than five,0,0,in person,2021-01-13
Garden City School,Cranston,0,10 to 14,Fewer than five,5 to 9,in person,2021-01-13
George J. Peters School,Cranston,0,5 to 9,0,5 to 9,in person,2021-01-13
Gladstone Street School,Cranston,0,5 to 9,0,Fewer than five,in person,2021-01-13
Glen Hills School,Cranston,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Hope Highlands Middle School,Cranston,0,10 to 14,0,Fewer than five,in person,2021-01-13
Hugh B. Bain Middle School,Cranston,0,15 to 19,0,5 to 9,in person,2021-01-13
NEL/CPS Construction Career Academy,Cranston,0,5 to 9,0,Fewer than five,in person,2021-01-13
Oak Lawn School,Cranston,0,5 to 9,0,Fewer than five,in person,2021-01-13
Orchard Farms Elementary School,Cranston,0,10 to 14,0,5 to 9,in person,2021-01-13
Park View Middle School,Cranston,0,15 to 19,0,Fewer than five,in person,2021-01-13
Sanders Academy,Cranston,0,0,0,Fewer than five,in person,2021-01-13
Stadium Elementary School,Cranston,Fewer than five,10 to 14,0,5 to 9,in person,2021-01-13
Stone Hill School,Cranston,0,5 to 9,0,Fewer than five,in person,2021-01-13
Western Hills Middle School,Cranston,0,10 to 14,0,5 to 9,in person,2021-01-13
William R. Dutemple School,Cranston,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Woodridge School,Cranston,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Ashton School,Cumberland,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-01-13
B.F. Norton Elementary School,Cumberland,0,10 to 14,0,Fewer than five,in person,2021-01-13
Community School,Cumberland,Fewer than five,15 to 19,0,5 to 9,in person,2021-01-13
Cumberland High School,Cumberland,0,25 to 29,0,5 to 9,in person,2021-01-13
Garvin Memorial School,Cumberland,0,5 to 9,0,5 to 9,in person,2021-01-13
John J. McLaughlin Cumberland Hill School,Cumberland,0,Fewer than five,0,5 to 9,in person,2021-01-13
Joseph L. McCourt Middle School,Cumberland,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
North Cumberland Middle School,Cumberland,0,10 to 14,0,5 to 9,in person,2021-01-13
Ocean Tides School,DCYF,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Wm. M. Davies Jr. Career-Technical High School,Davies Career and Tech,Fewer than five,45 to 49,Fewer than five,5 to 9,in person,2021-01-13
East Bay Educational Collaborative,East Bay Educational Collaborative,0,0,0,Fewer than five,in person,2021-01-13
Archie R. Cole Middle School,East Greenwich,Fewer than five,10 to 14,Fewer than five,Fewer than five,in person,2021-01-13
East Greenwich High School,East Greenwich,Fewer than five,15 to 19,Fewer than five,5 to 9,in person,2021-01-13
Frenchtown School,East Greenwich,0,Fewer than five,0,Fewer than five,in person,2021-01-13
George Hanaford School,East Greenwich,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
James H. Eldredge El. School,East Greenwich,0,5 to 9,0,Fewer than five,in person,2021-01-13
Meadowbrook Farms School,East Greenwich,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Agnes B. Hennessey School,East Providence,0,5 to 9,0,Fewer than five,in person,2021-01-13
Alice M. Waddington School,East Providence,0,5 to 9,0,Fewer than five,in person,2021-01-13
East Providence High School,East Providence,Fewer than five,25 to 29,Fewer than five,20 to 24,in person,2021-01-13
Edward R. Martin Middle School,East Providence,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Edward R. Martin Middle School Annex,East Providence,0,0,0,Fewer than five,in person,2021-01-13
Emma G. Whiteknact School,East Providence,0,Fewer than five,0,5 to 9,in person,2021-01-13
James R. D. Oldham School,East Providence,0,Fewer than five,0,0,in person,2021-01-13
Kent Heights School,East Providence,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-01-13
Myron J. Francis Elementary School,East Providence,0,5 to 9,0,Fewer than five,in person,2021-01-13
Orlo Avenue School,East Providence,0,5 to 9,0,Fewer than five,in person,2021-01-13
Riverside Middle School,East Providence,0,5 to 9,Fewer than five,5 to 9,in person,2021-01-13
Silver Spring School,East Providence,0,Fewer than five,0,Fewer than five,in person,2021-01-13
T&E Furtado dba Oliver Day School,East Providence,0,0,0,Fewer than five,in person,2021-01-13
Exeter-West Greenwich Regional High School,Exeter-West Greenwich,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Exeter-West Greenwich Regional Junior High,Exeter-West Greenwich,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-01-13
Metcalf School,Exeter-West Greenwich,Fewer than five,15 to 19,0,Fewer than five,in person,2021-01-13
Mildred E. Lineham School,Exeter-West Greenwich,Fewer than five,Fewer than five,0,0,in person,2021-01-13
Wawaloam School,Exeter-West Greenwich,0,5 to 9,0,Fewer than five,in person,2021-01-13
Captain Isaac Paine Elementary School,Foster,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Ponaganset High School,Foster-Glocester,Fewer than five,20 to 24,Fewer than five,10 to 14,in person,2021-01-13
Ponaganset Middle School,Foster-Glocester,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Fogarty Memorial School,Glocester,0,Fewer than five,0,5 to 9,in person,2021-01-13
West Glocester Elementary,Glocester,0,Fewer than five,0,0,in person,2021-01-13
Highlander Elementary Charter School,Highlander,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Highlander Secondary Charter School,Highlander,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
International Charter School,International Charter,0,10 to 14,0,Fewer than five,in person,2021-01-13
Jamestown School-Lawn,Jamestown,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Jamestown School-Melrose,Jamestown,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Brown Avenue School,Johnston,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Early Childhood Center,Johnston,0,0,0,Fewer than five,in person,2021-01-13
Graniteville School,Johnston,0,0,0,Fewer than five,in person,2021-01-13
Johnston Senior High School,Johnston,0,20 to 24,0,10 to 14,in person,2021-01-13
Nicholas A. Ferri Middle School,Johnston,Fewer than five,25 to 29,0,5 to 9,in person,2021-01-13
Sarah Dyer Barnes School,Johnston,0,5 to 9,0,Fewer than five,in person,2021-01-13
Thornton School,Johnston,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-01-13
Winsor Hill School,Johnston,0,10 to 14,0,5 to 9,in person,2021-01-13
Kingston Hill Academy,Kingston Hill Academy,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-01-13
The Learning Community Charter School,Learning Community,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Lincoln Central Elementary School,Lincoln,0,5 to 9,0,5 to 9,in person,2021-01-13
Lincoln Middle School,Lincoln,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Lincoln Senior High School,Lincoln,5 to 9,35 to 39,0,10 to 14,in person,2021-01-13
Lonsdale Elementary School,Lincoln,Fewer than five,5 to 9,0,5 to 9,in person,2021-01-13
Northern Lincoln Elementary School,Lincoln,0,10 to 14,Fewer than five,5 to 9,in person,2021-01-13
Saylesville Elementary School,Lincoln,0,5 to 9,0,Fewer than five,in person,2021-01-13
Wilbur and McMahon Schools,Little Compton,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Metropolitan Regional Career and Technical Center,MET Career and Tech,0,5 to 9,0,Fewer than five,in person,2021-01-13
Aquidneck School,Middletown,0,5 to 9,0,Fewer than five,in person,2021-01-13
Forest Avenue School,Middletown,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
Joseph H. Gaudet Learning Academy,Middletown,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Joseph H. Gaudet Middle School,Middletown,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
Middletown High School,Middletown,0,15 to 19,0,Fewer than five,in person,2021-01-13
Narragansett Elementary School,Narragansett,0,5 to 9,0,5 to 9,in person,2021-01-13
Narragansett High School,Narragansett,0,10 to 14,0,Fewer than five,in person,2021-01-13
Narragansett Pier School,Narragansett,0,5 to 9,0,Fewer than five,in person,2021-01-13
Block Island School,New Shoreham,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
Claiborne Pell Elementary School,Newport,0,5 to 9,0,Fewer than five,in person,2021-01-13
Frank E. Thompson Middle School,Newport,0,5 to 9,0,Fewer than five,in person,2021-01-13
Rogers High School,Newport,0,5 to 9,0,Fewer than five,in person,2021-01-13
Davisville Academy,North Kingstown,0,0,0,Fewer than five,in person,2021-01-13
Davisville Middle School,North Kingstown,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Fishing Cove Elementary School,North Kingstown,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-01-13
Forest Park Elementary School,North Kingstown,Fewer than five,5 to 9,0,5 to 9,in person,2021-01-13
Hamilton Elementary School,North Kingstown,0,5 to 9,0,Fewer than five,in person,2021-01-13
North Kingstown Senior High School,North Kingstown,5 to 9,45 to 49,0,10 to 14,in person,2021-01-13
Stony Lane Elementary School,North Kingstown,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-01-13
Suzanne M. Henseler Quidnessett Elementary School,North Kingstown,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Wickford Middle School,North Kingstown,0,Fewer than five,0,0,in person,2021-01-13
Birchwood Middle School,North Providence,Fewer than five,15 to 19,0,Fewer than five,in person,2021-01-13
Centredale School,North Providence,0,Fewer than five,0,0,in person,2021-01-13
Dr. Edward A. Ricci Middle School,North Providence,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
Dr. Joseph A Whelan Elementary School,North Providence,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
Greystone School,North Providence,0,5 to 9,0,Fewer than five,in person,2021-01-13
James L. McGuire School,North Providence,0,10 to 14,0,Fewer than five,in person,2021-01-13
North Providence High School,North Providence,Fewer than five,30 to 34,Fewer than five,10 to 14,in person,2021-01-13
Stephen Olney School,North Providence,Fewer than five,10 to 14,0,Fewer than five,in person,2021-01-13
North Smithfield Elementary School,North Smithfield,0,5 to 9,0,5 to 9,in person,2021-01-13
North Smithfield High School,North Smithfield,0,20 to 24,0,5 to 9,in person,2021-01-13
North Smithfield Middle School,North Smithfield,0,5 to 9,0,Fewer than five,in person,2021-01-13
Northern RI Collaborative,Northern RI Collaborative,0,Fewer than five,0,0,in person,2021-01-13
Paul Cuffee Lower School,Paul Cuffee Charter Sch,0,Fewer than five,0,5 to 9,in person,2021-01-13
Paul Cuffee Middle School,Paul Cuffee Charter Sch,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
Paul Cuffee Upper School,Paul Cuffee Charter Sch,0,5 to 9,0,Fewer than five,in person,2021-01-13
Agnes E. Little School,Pawtucket,0,Fewer than five,0,0,in person,2021-01-13
Charles E. Shea High School,Pawtucket,0,Fewer than five,0,0,in person,2021-01-13
Curvin-McCabe School,Pawtucket,0,0,0,Fewer than five,in person,2021-01-13
Elizabeth Baldwin School,Pawtucket,0,0,0,Fewer than five,in person,2021-01-13
Fallon Memorial School,Pawtucket,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Flora S. Curtis Memorial School,Pawtucket,0,Fewer than five,0,0,in person,2021-01-13
Francis J. Varieur School,Pawtucket,0,5 to 9,0,10 to 14,in person,2021-01-13
Henry J. Winters School,Pawtucket,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Jacqueline M. Walsh School for the Performing and Visual Arts,Pawtucket,0,Fewer than five,0,0,in person,2021-01-13
Joseph Jenks Middle School,Pawtucket,0,Fewer than five,Fewer than five,5 to 9,in person,2021-01-13
Lyman B. Goff Middle School,Pawtucket,0,0,0,Fewer than five,in person,2021-01-13
Nathanael Greene Elementary School (Pawtucket),Pawtucket,0,10 to 14,Fewer than five,5 to 9,in person,2021-01-13
Potter-Burns School,Pawtucket,0,5 to 9,0,5 to 9,in person,2021-01-13
Providence Autism School to Tomorrow Academy,Pawtucket,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Samuel Slater Middle School,Pawtucket,0,0,0,Fewer than five,in person,2021-01-13
William E Tolman Senior High School,Pawtucket,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Howard Hathaway School,Portsmouth,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Melville Elementary School,Portsmouth,0,10 to 14,0,5 to 9,in person,2021-01-13
Portsmouth High School,Portsmouth,Fewer than five,20 to 24,0,5 to 9,in person,2021-01-13
Portsmouth Middle School,Portsmouth,0,5 to 9,0,0,in person,2021-01-13
Academy For Little Children,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
Action Based Enterprises,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
Barrington Christian Academy,Private Schools,Fewer than five,10 to 14,Fewer than five,Fewer than five,in person,2021-01-13
Bradley School North,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Bradley School Providence,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Bradley School-South,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Brown Fox Point Early Childhood Ed. Center,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
"CHILD, Inc., Draper Avenue Center",Private Schools,0,Fewer than five,0,0,in person,2021-01-13
"CHILD, Inc.- Payan Street",Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Cadence Academy Preschool,Private Schools,Fewer than five,Fewer than five,0,0,in person,2021-01-13
Calvary Christian Preschool,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
Center for Individualized Training and Ed.,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Children's Friend @ Dorcas International,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
Community Preparatory School,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-01-13
Cornerstone School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Day Spring Christian Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
East Bay Community Action Program Head Start @ John Chafee Blvd,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
Greenwich Village Nursery and Kindergarten,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
Harmony Hill School,Private Schools,0,5 to 9,0,5 to 9,in person,2021-01-13
Henry Barnard School,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
High Road School of Providence,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Islamic School of RI,Private Schools,Fewer than five,20 to 24,0,5 to 9,in person,2021-01-13
Jewish Community Day School of Rhode Island,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
Lifespan School Solutions,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
Lincoln School,Private Schools,0,10 to 14,0,Fewer than five,in person,2021-01-13
Meadowbrook Waldorf School,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
Meadowridge School-Justice Resource,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
Meeting Street School,Private Schools,0,5 to 9,0,5 to 9,in person,2021-01-13
Middlebridge School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Montessori Centre of Barrington,Private Schools,0,0,Fewer than five,Fewer than five,in person,2021-01-13
Montessori Children's House,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Moses Brown School,Private Schools,0,5 to 9,Fewer than five,5 to 9,in person,2021-01-13
Mount Pleasant Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Ocean State Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Ocean State Montessori School,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
Pathways Strategic Teaching Center(Coventry),Private Schools,0,Fewer than five,Fewer than five,5 to 9,in person,2021-01-13
Pathways Strategic Teaching Center(Warwick),Private Schools,0,5 to 9,0,5 to 9,in person,2021-01-13
Portsmouth Abbey School,Private Schools,0,Fewer than five,Fewer than five,5 to 9,in person,2021-01-13
Providence Country Day School,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-01-13
Quest Montessori School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
READS Collaborative,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
Rocky Hill School,Private Schools,Fewer than five,Fewer than five,Fewer than five,Fewer than five,in person,2021-01-13
Roger Williams Day Care Center,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Sakonnet Early Learning Center,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
San Miguel School,Private Schools,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-01-13
Sargent Rehabilitation Center,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
School One,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
Sophia Academy,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
St. Andrew's School,Private Schools,0,5 to 9,0,Fewer than five,in person,2021-01-13
St. George's School,Private Schools,0,5 to 9,0,5 to 9,in person,2021-01-13
St. Mary's Home for Children/George N. Hunt Campus School,Private Schools,0,10 to 14,0,Fewer than five,in person,2021-01-13
St. Michael's Country Day School,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
St. Patrick's School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Swansea Wood School,Private Schools,0,0,0,Fewer than five,in person,2021-01-13
The Bradley School,Private Schools,0,5 to 9,Fewer than five,5 to 9,in person,2021-01-13
The Croft School,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
The French-American School of RI,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
The Gordon School,Private Schools,0,10 to 14,0,Fewer than five,in person,2021-01-13
The Grace School,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
"The Groden Center, Inc.",Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
The Pennfield School,Private Schools,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-01-13
The Providence Center School,Private Schools,0,Fewer than five,0,Fewer than five,in person,2021-01-13
The Romerry School for Young Children,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
The Spurwink School,Private Schools,0,0,Fewer than five,Fewer than five,in person,2021-01-13
The Tides School - Pawtucket,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
The Tides School - West Warwick,Private Schools,Fewer than five,Fewer than five,0,0,in person,2021-01-13
The Wheeler School,Private Schools,Fewer than five,10 to 14,0,10 to 14,in person,2021-01-13
The Wolf School,Private Schools,0,5 to 9,0,5 to 9,in person,2021-01-13
Trinity Christian Academy,Private Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-13
West Bay Christian Academy,Private Schools,0,5 to 9,0,5 to 9,in person,2021-01-13
Woonsocket Head Start-Bourdon Blvd Center,Private Schools,0,Fewer than five,0,0,in person,2021-01-13
