provider_name,week_ending,all_employees,employees_fully_vac,employees_part_vac,recent_pct_fully_vac,pct_fully_vac,pct_part_vac,not_vac,all_employees_change,employees_fully_vac_change,employees_part_vac_change,recent_pct_fully_vac_change,pct_fully_vac_change
ST ANTOINE RESIDENCE,2021-09-12,227.0,175.0,10.0,0.77093,0.77093,0.044050000000000006,52.0,-1.0,31.0,-3.0,0.0,0.13934999999999997
STEERE HOUSE NURSING AND REHABILITATION CTR,2021-09-12,174.0,149.0,17.0,0.8563200000000001,0.8563200000000001,0.0977,25.0,4.0,5.0,1.0,0.0,0.009260000000000046
SUNNY VIEW NURSING HOME INC*,2021-09-12,97.0,84.0,1.0,0.86598,0.86598,0.01031,13.0,0.0,0.0,0.0,0.0,0.0
THE DAWN HILL HOME FOR REHAB & HEALTHCARE*,2021-09-12,178.0,109.0,16.0,0.61236,0.61236,0.08989000000000001,69.0,0.0,0.0,0.0,0.0,0.0
TRINITY HEALTH AND REHABILITATION CENTER,2021-09-12,142.0,114.0,10.0,0.80282,0.80282,0.07042,28.0,0.0,-7.0,0.0,0.0,-0.049290000000000056
VILLAGE HOUSE NURSING & REHABILITATION CENTER,2021-09-12,101.0,92.0,4.0,0.91089,0.91089,0.039599999999999996,9.0,-1.0,2.0,0.0,0.0,0.02854000000000001
WARREN SKILLED NURSING AND REHABILITATION*,2021-09-12,66.0,63.0,3.0,0.95455,0.95455,0.04545,3.0,0.0,0.0,0.0,0.0,0.0
WATERVIEW VILLA REHABILITATION AND HEALTH CARE CEN,2021-09-12,108.0,96.0,8.0,0.88889,0.88889,0.07407,12.0,0.0,0.0,0.0,0.0,0.0
WEST SHORE HEALTH CENTER,2021-09-12,133.0,117.0,11.0,0.8797,0.8797,0.08271,16.0,-19.0,-17.0,0.0,0.0,-0.0018799999999999928
WEST VIEW NURSING AND REHABILIATION CENTER,2021-09-12,127.0,107.0,18.0,0.8425199999999999,0.8425199999999999,0.14173,20.0,4.0,3.0,1.0,0.0,-0.003010000000000068
WESTERLY HEALTH CENTER,2021-09-12,142.0,123.0,11.0,0.8662000000000001,0.8662000000000001,0.07746,19.0,2.0,8.0,-2.0,0.0,0.04477000000000009
WOONSOCKET HEALTH CENTRE,2021-09-12,165.0,146.0,18.0,0.88485,0.88485,0.10909,19.0,-3.0,9.0,12.0,0.0,0.06937000000000004
