provider_name,week_ending,all_residents,residents_fully_vac,residents_part_vac,recent_pct_fully_vac,pct_fully_vac,pct_part_vac,not_vac,all_residents_change,residents_fully_vac_change,residents_part_vac_change,recent_pct_fully_vac_change,pct_fully_vac_change
CRA-MAR MEADOWS,2021-09-12,29.0,28.0,0.0,0.96552,0.96552,0.0,1.0,-1.0,-2.0,0.0,0.0,-0.034479999999999955
"CRESTWOOD NURSING & REHABILITATION CENTER, INC",2021-09-12,53.0,48.0,0.0,0.90566,0.90566,0.0,5.0,-1.0,-1.0,0.0,0.0,-0.0017500000000000293
CRYSTAL LAKE REHABILITATION AND CARE CENTER*,2021-09-12,49.0,45.0,0.0,0.0,0.91837,0.0,4.0,0.0,0.0,0.0,0.0,0.0
EASTGATE NURSING & REHABILITATION CENTER,2021-09-12,52.0,50.0,0.0,0.96154,0.96154,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ELDERWOOD AT RIVERSIDE*,2021-09-12,31.0,28.0,0.0,0.90323,0.90323,0.0,3.0,0.0,0.0,0.0,0.0,0.0
ELDERWOOD OF SCALLOP SHELL AT WAKEFIELD,2021-09-12,52.0,50.0,0.0,0.96154,0.96154,0.0,2.0,1.0,1.0,0.0,0.0,0.0007599999999998719
ELMHURST REHABILITATION & HEALTHCARE CENTER,2021-09-12,186.0,149.0,7.0,0.80108,0.80108,0.03763,37.0,-10.0,-11.0,2.0,0.0,-0.015249999999999986
ELMWOOD NURSING AND REHABILITATION CENTER,2021-09-12,58.0,50.0,0.0,0.8620699999999999,0.8620699999999999,0.0,8.0,0.0,1.0,0.0,0.0,0.01723999999999981
EVERGREEN HOUSE HEALTH CENTER,2021-09-12,111.0,103.0,1.0,0.92793,0.92793,0.00901,8.0,-4.0,-3.0,0.0,0.0,0.006189999999999918
FRIENDLY HOME INC THE,2021-09-12,106.0,106.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
GOLDEN CREST NURSING CENTRE,2021-09-12,149.0,136.0,3.0,0.9127500000000001,0.9127500000000001,0.02013,13.0,-1.0,-1.0,-2.0,0.0,-0.0005799999999999139
GRACE BARKER NURSING CENTER,2021-09-12,85.0,83.0,0.0,0.9764700000000001,0.9764700000000001,0.0,2.0,1.0,2.0,0.0,0.0,0.01218000000000008
GRAND ISLANDER CENTER*,2021-09-12,120.0,117.0,0.0,0.975,0.975,0.0,3.0,0.0,0.0,0.0,0.0,0.0
GRANDVIEW CENTER*,2021-09-12,73.0,67.0,1.0,0.91781,0.91781,0.0137,6.0,0.0,0.0,0.0,0.0,0.0
GREENVILLE SKILLED NURSING AND REHABILITATION*,2021-09-12,91.0,83.0,2.0,0.9120900000000001,0.9120900000000001,0.02198,8.0,0.0,0.0,0.0,0.0,0.0
GREENWOOD CENTER*,2021-09-12,98.0,89.0,1.0,0.9081600000000001,0.9081600000000001,0.0102,9.0,0.0,0.0,0.0,0.0,0.0
HARRIS HEALTH CARE CENTER NORTH*,2021-09-12,27.0,24.0,3.0,0.0,0.88889,0.11111,3.0,0.0,0.0,0.0,0.0,0.0
HARRIS HEALTH CENTER LLC*,2021-09-12,20.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HATTIE IDE CHAFFEE HOME,2021-09-12,48.0,48.0,0.0,1.0,1.0,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0
HEATHERWOOD REHABILITATION & HEALTH CARE CENTER,2021-09-12,96.0,83.0,3.0,0.86458,0.86458,0.03125,13.0,-2.0,-2.0,-1.0,0.0,-0.002769999999999939
HEBERT NURSING HOME*,2021-09-12,101.0,93.0,0.0,0.9207899999999999,0.9207899999999999,0.0,8.0,0.0,0.0,0.0,0.0,0.0
HERITAGE HILLS NURSING & REHABILITATION CENTER,2021-09-12,78.0,75.0,0.0,0.96154,0.96154,0.0,3.0,8.0,6.0,0.0,0.0,-0.024170000000000025
HOLIDAY RETIREMENT HOME INC*,2021-09-12,132.0,126.0,2.0,0.95455,0.95455,0.015149999999999999,6.0,0.0,0.0,0.0,0.0,0.0
JEANNE JUGAN RESIDENCE,2021-09-12,44.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOHN CLARKE RETIREMENT CENTER THE,2021-09-12,56.0,55.0,0.0,0.98214,0.98214,0.0,1.0,1.0,1.0,0.0,0.0,0.00031999999999998696
KENT REGENCY CENTER*,2021-09-12,141.0,133.0,1.0,0.94326,0.94326,0.00709,8.0,0.0,0.0,0.0,0.0,0.0
KINGSTON CENTER FOR REHABILITATION AND HEALTH CARE,2021-09-12,44.0,20.0,2.0,0.45455,0.45455,0.04545,24.0,-3.0,-1.0,0.0,0.0,0.007740000000000025
LINCOLNWOOD REHABILITATION AND HEALTHCARE CENTER,2021-09-12,144.0,130.0,2.0,0.90278,0.90278,0.01389,14.0,0.0,0.0,0.0,0.0,0.0
LINN HEALTH AND REHABILITATION,2021-09-12,64.0,60.0,0.0,0.9375,0.9375,0.0,4.0,0.0,1.0,0.0,0.0,0.015619999999999967
MANSION NURSING AND REHAB CENTER*,2021-09-12,53.0,53.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORGAN HEALTH CENTER,2021-09-12,99.0,88.0,3.0,0.88889,0.88889,0.030299999999999997,11.0,0.0,1.0,-1.0,0.0,0.010099999999999887
MOUNT ST RITA HEALTH CENTRE,2021-09-12,79.0,76.0,1.0,0.96203,0.96203,0.01266,3.0,1.0,1.0,0.0,0.0,0.0004900000000001015
OAK HILL HEALTH & REHABILITATION CENTER,2021-09-12,116.0,88.0,3.0,0.75862,0.75862,0.025859999999999998,28.0,2.0,-3.0,-2.0,0.0,-0.039630000000000054
ORCHARD VIEW MANOR,2021-09-12,110.0,103.0,0.0,0.93636,0.93636,0.0,7.0,-2.0,0.0,-1.0,0.0,0.016719999999999957
OVERLOOK NURSING AND REHABILITATION CENTER,2021-09-12,67.0,63.0,1.0,0.9403,0.9403,0.01493,4.0,-2.0,-1.0,0.0,0.0,0.012759999999999994
PAWTUCKET FALLS HEALTHCARE CENTER*,2021-09-12,85.0,73.0,3.0,0.85882,0.85882,0.03529,12.0,0.0,0.0,0.0,0.0,0.0
RESPIRATORY AND REHABILITATION CENTER OF RI*,2021-09-12,153.0,144.0,2.0,0.9411799999999999,0.9411799999999999,0.01307,9.0,0.0,0.0,0.0,0.0,0.0
RIVERVIEW HEALTHCARE COMMUNITY,2021-09-12,176.0,170.0,2.0,0.9659099999999999,0.9659099999999999,0.011359999999999999,6.0,-12.0,-10.0,0.0,0.0,0.008459999999999912
ROBERTS HEALTH CENTRE INC,2021-09-12,60.0,55.0,0.0,0.91667,0.91667,0.0,5.0,0.0,0.0,0.0,0.0,0.0
ROYAL MIDDLETOWN NURSING CENTER*,2021-09-12,26.0,24.0,1.0,0.0,0.9230800000000001,0.03846,2.0,0.0,0.0,0.0,0.0,0.0
ROYAL OF WESTERLY NURSING CENTER*,2021-09-12,56.0,53.0,1.0,0.94643,0.94643,0.01786,3.0,0.0,0.0,0.0,0.0,0.0
SAINT ELIZABETH HOME EAST GREENWICH,2021-09-12,137.0,132.0,1.0,0.9634999999999999,0.9634999999999999,0.0,5.0,0.0,0.0,0.0,0.0,0.0
SCALABRINI VILLA,2021-09-12,75.0,72.0,0.0,0.96,0.96,0.0,3.0,0.0,0.0,0.0,0.0,0.0
SCANDINAVIAN HOME INC,2021-09-12,62.0,60.0,0.0,0.96774,0.96774,0.0,2.0,0.0,1.0,0.0,0.0,0.016129999999999978
SILVER CREEK REHAB & HEALTHCARE CENTER*,2021-09-12,94.0,89.0,0.0,0.9468099999999999,0.9468099999999999,0.0,5.0,0.0,0.0,0.0,0.0,0.0
SOUTH COUNTY NURSING & REHABILITATION CENTER*,2021-09-12,71.0,69.0,1.0,0.9718300000000001,0.9718300000000001,0.014079999999999999,2.0,0.0,0.0,0.0,0.0,0.0
SOUTH KINGSTOWN NURSING AND REHAB CTR,2021-09-12,93.0,88.0,0.0,0.94624,0.94624,0.0,5.0,0.0,0.0,0.0,0.0,0.0
ST ANTOINE RESIDENCE,2021-09-12,156.0,139.0,4.0,0.89103,0.89103,0.02564,17.0,3.0,-4.0,3.0,0.0,-0.04361000000000004
STEERE HOUSE NURSING AND REHABILITATION CTR,2021-09-12,100.0,99.0,0.0,0.99,0.99,0.0,1.0,1.0,1.0,0.0,0.0,9.999999999998899e-05
SUNNY VIEW NURSING HOME INC*,2021-09-12,56.0,56.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THE DAWN HILL HOME FOR REHAB & HEALTHCARE*,2021-09-12,114.0,108.0,1.0,0.9473699999999999,0.9473699999999999,0.00877,6.0,0.0,0.0,0.0,0.0,0.0
TRINITY HEALTH AND REHABILITATION CENTER*,2021-09-12,125.0,109.0,2.0,0.872,0.872,0.016,16.0,0.0,0.0,0.0,0.0,0.0
VILLAGE HOUSE NURSING & REHABILITATION CENTER,2021-09-12,69.0,67.0,0.0,0.97101,0.97101,0.0,2.0,-1.0,-3.0,0.0,0.0,-0.02898999999999996
WARREN SKILLED NURSING AND REHABILITATION*,2021-09-12,36.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WATERVIEW VILLA REHABILITATION AND HEALTH CARE CEN,2021-09-12,101.0,97.0,0.0,0.9604,0.9604,0.0,4.0,0.0,-2.0,0.0,0.0,-0.01979999999999993
WEST SHORE HEALTH CENTER,2021-09-12,110.0,110.0,0.0,1.0,1.0,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0
WEST VIEW NURSING AND REHABILIATION CENTER,2021-09-12,97.0,83.0,4.0,0.8556699999999999,0.8556699999999999,0.04124,14.0,0.0,-7.0,0.0,0.0,-0.07217000000000018
WESTERLY HEALTH CENTER,2021-09-12,89.0,88.0,0.0,0.9887600000000001,0.9887600000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WOONSOCKET HEALTH CENTRE,2021-09-12,116.0,101.0,3.0,0.8706900000000001,0.8706900000000001,0.025859999999999998,15.0,-1.0,0.0,1.0,0.0,0.007440000000000002
