"Notes"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Jan., 2018"	"2018/01"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	52	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Falls (W00-W19)"	"GR113-118"	23	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	18	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	12	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	11	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	165	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	14	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	12	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	39	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasm of breast (C50)"	"GR113-029"	14	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	23	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Leukemia (C91-C95)"	"GR113-040"	11	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	26	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	26	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Parkinson disease (G20-G21)"	"GR113-051"	13	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Alzheimer disease (G30)"	"GR113-052"	30	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	243	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	186	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Hypertensive heart disease (I11)"	"GR113-056"	10	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	124	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	30	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	94	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	35	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	59	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other heart diseases (I26-I51)"	"GR113-064"	52	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Heart failure (I50)"	"GR113-067"	20	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	32	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	10	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	43	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	33	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Influenza (J09-J11)"	"GR113-077"	20	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Pneumonia (J12-J18)"	"GR113-078"	13	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	44	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	43	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	18	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	10	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	11	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Renal failure (N17-N19)"	"GR113-100"	11	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"All other diseases (Residual) "	"GR113-111"	121	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	44	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	38	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Falls (W00-W19)"	"GR113-118"	10	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	22	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	178	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	14	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	17	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	12	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	46	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Malignant neoplasm of breast (C50)"	"GR113-029"	12	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	19	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	24	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	18	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Alzheimer disease (G30)"	"GR113-052"	52	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	255	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	207	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Hypertensive heart disease (I11)"	"GR113-056"	16	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	138	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	38	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	98	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	40	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	58	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Other heart diseases (I26-I51)"	"GR113-064"	49	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Heart failure (I50)"	"GR113-067"	19	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	30	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	35	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	19	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Pneumonia (J12-J18)"	"GR113-078"	14	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	35	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	34	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	13	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"All other diseases (Residual) "	"GR113-111"	120	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	59	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	54	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Falls (W00-W19)"	"GR113-118"	23	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	26	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Septicemia (A40-A41)"	"GR113-010"	10	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	173	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	16	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	15	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	38	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	20	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	25	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	23	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Alzheimer disease (G30)"	"GR113-052"	34	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	314	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	256	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Hypertensive heart disease (I11)"	"GR113-056"	18	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	165	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	39	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	125	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	53	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	72	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other heart diseases (I26-I51)"	"GR113-064"	63	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Heart failure (I50)"	"GR113-067"	22	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	40	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	10	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	41	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	14	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Pneumonia (J12-J18)"	"GR113-078"	11	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	45	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	43	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	13	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	18	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Alcoholic liver disease (K70)"	"GR113-094"	10	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	25	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Renal failure (N17-N19)"	"GR113-100"	25	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"All other diseases (Residual) "	"GR113-111"	110	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	63	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	59	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Falls (W00-W19)"	"GR113-118"	22	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	26	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	10	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	194	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	17	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	14	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	12	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	48	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasm of breast (C50)"	"GR113-029"	10	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	16	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	33	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	22	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Alzheimer disease (G30)"	"GR113-052"	29	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	273	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	213	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Hypertensive heart disease (I11)"	"GR113-056"	11	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	143	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	42	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	99	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	43	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	56	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other heart diseases (I26-I51)"	"GR113-064"	53	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Heart failure (I50)"	"GR113-067"	24	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	29	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	50	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	18	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Pneumonia (J12-J18)"	"GR113-078"	16	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	42	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	40	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	14	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"All other diseases (Residual) "	"GR113-111"	130	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	71	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	63	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Falls (W00-W19)"	"GR113-118"	20	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	31	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	12	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	170	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	13	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	11	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	46	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Malignant neoplasm of breast (C50)"	"GR113-029"	11	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	20	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	10	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	23	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	19	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"#Alzheimer disease (G30)"	"GR113-052"	44	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	208	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	160	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Hypertensive heart disease (I11)"	"GR113-056"	20	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	88	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	19	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	69	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	31	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	38	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Other heart diseases (I26-I51)"	"GR113-064"	52	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Heart failure (I50)"	"GR113-067"	18	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	34	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	32	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	48	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	42	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	12	Not Applicable	Not Applicable
